year,total_people,name_count,share_pct,share_pct_smoothed
1932,9257,6,0.0648158150588744,0.0627692069930542
1934,9881,6,0.0607225989272341,0.0624768482812522
1935,11310,7,0.0618921308576481,0.0516021114048157
1936,15532,5,0.0321916044295648,0.0409331878172324
1937,17412,5,0.0287158281644843,0.0309515377517852
1938,18781,6,0.0319471806613066,0.0360691146394215
1940,21033,10,0.0475443350924737,0.0367358613656775
1941,26045,8,0.0307160683432521,0.0369040438300816
1942,30815,10,0.0324517280545189,0.0369166748118663
1943,33626,16,0.0475822280378279,0.0344545642526481
1944,34291,8,0.0233297366655974,0.0303361425753111
1945,34832,7,0.020096463022508,0.0275955310973472
1946,40650,16,0.039360393603936,0.0276097618864168
1947,47064,11,0.0233724290328064,0.0323168034922974
1948,55527,19,0.0342175878401498,0.027281551079995
1949,53598,13,0.0242546363670286,0.0304234763123416
1950,57930,19,0.0327982047298464,0.0242565621372278
1951,63626,10,0.0157168453148084,0.022385149362949
1952,69741,13,0.0186403980441921,0.0183616410341767
1953,72367,15,0.0207276797435295,0.0210105916307996
1954,71840,17,0.0236636971046771,0.0199584643735
1955,71041,11,0.0154840162722935,0.0173928061521921
1956,84416,11,0.0130307050796058,0.0140734118457021
1957,87556,12,0.0137055141852072,0.0122737189500849
1958,89242,9,0.0100849375854418,0.0107338627050564
1959,83223,7,0.00841113634452015,0.00833100859224018
1960,92351,6,0.00649695184675856,0.00863057419201514
1961,100149,11,0.0109836343847667,0.0073176327161492
1962,111799,5,0.00447231191692233,0.0073764473252201
1963,119879,8,0.00667339567397125,0.00520334438840969
1964,111999,5,0.00446432557433549,0.0060982335483841
1965,111779,8,0.00715697939684556,0.00605884425511563
1967,137295,9,0.00655522779416585,0.00770243252840085
1968,149014,14,0.00939509039419115,0.00681449618979262
1970,155792,7,0.00449317038102085,0.00627163840245116
1971,162382,8,0.00492665443214149,0.00570198889978052
1972,182146,14,0.00768614188617922,0.00651758852805704
1973,201730,14,0.0069399692658504,0.00763222763566442
1974,193457,16,0.00827057175496364,0.00645623215435328
1975,192393,8,0.00415815544224582,0.00640659189660769
1976,220879,15,0.0067910484926136,0.00568692204582215
1977,229074,14,0.00611156220260702,0.00560278574002755
1978,256033,10,0.00390574652486203,0.00542361746740602
1979,239864,15,0.00625354367474902,0.0053939028841004
1980,265674,16,0.00602241845269014,0.00609312552313434
1981,266515,16,0.00600341444196387,0.00551387824245827
1982,287878,13,0.00451580183272081,0.00458835440450881
1983,308086,10,0.00324584693884175,0.00314337988497612
1984,299672,5,0.00166849088336581,0.00245503456218006
1985,285625,7,0.0024507658643326,0.00204495927031284
1988,297675,6,0.00201562106324011,0.00265473301536419
1989,285893,10,0.00349781211851987,0.00275671659087999
