year,total_people,name_count,share_pct,share_pct_smoothed
1956,84416,7,0.00829226686884003,0.00757251198072181
1957,87556,6,0.00685275709260359,0.00803647097542694
1958,89242,8,0.00896438896483718,0.00707709086546875
1960,92351,5,0.00541412653896547,0.00658176326803648
1962,111799,6,0.0053667743003068,0.00581809883774784
1963,119879,8,0.00667339567397125,0.00579912022116021
1964,111999,6,0.00535719068920258,0.00609764777847123
1965,111779,7,0.00626235697223987,0.00591684019006864
1966,130485,8,0.00613097290876346,0.00547326573093318
1968,149014,6,0.00402646731179621,0.00595333933886514
1970,155792,12,0.00770257779603574,0.00678356345469319
1971,162382,14,0.00862164525624761,0.00873546849245697
1972,182146,18,0.00988218242508757,0.00996840192031551
1973,201730,23,0.0114013780796114,0.0103682881545727
1974,193457,19,0.00982130395901932,0.0107126133581753
1975,192393,21,0.0109151580358953,0.0111376952825978
1976,220879,28,0.0126766238528787,0.015576136742405
1977,229074,53,0.0231366283384409,0.0230040325508823
1978,256033,85,0.0331988454613273,0.0276724200484547
1979,239864,64,0.0266817863455958,0.0321305145587857
1980,265674,97,0.036510911869434,0.0335713461591013
1981,266515,100,0.0375213402622742,0.0368353453884074
1982,287878,105,0.0364737840335142,0.0364582853097212
1983,308086,109,0.0353797316333751,0.039523753467044
1984,299672,140,0.0467177447342428,0.0444044833698041
1985,285625,146,0.0511159737417943,0.0537649400535874
1986,299396,190,0.0634611016847252,0.0626844932654287
1987,288528,212,0.0734764043697665,0.0712890144338298
1988,297675,229,0.0769295372469976,0.0784675920322656
1989,285893,243,0.0849968344800328,0.0875545638056381
1990,258097,260,0.100737319689884,0.102020705943002
1991,214414,258,0.120327963659089,0.124095319656825
1992,197063,298,0.151220675621502,0.172121561921373
1993,190347,466,0.244816046483527,0.232134983117949
1994,190100,571,0.300368227248816,0.289974126330238
1995,175834,571,0.324738105258369,0.335457092697684
1996,163928,625,0.381264945585867,0.386601928019578
1997,134640,611,0.453802733214498,0.455095444833643
1998,105051,557,0.530218655700565,0.515734605533891
1999,78305,441,0.56318242768661,0.545051501573916
2000,49469,268,0.541753421334573,0.552467924510592
